,Algorithm,Dataset,Parameter,AUC,AUC_STD,ACC,ACC_STD,XMAP_AUC,XMAP_AUC_STD,XMAP_ACC,XMAP_ACC_STD,LAYER_AUC,LAYER_AUC_STD,LAYER_ACC,LAYER_ACC_STD
0,Logistic Regression,new_german_data,1,0.78452381,0.039174735,0.745,0.025,0.78452381,0.037294714,0.744,0.025768197,0.772,0.040376797,0.743,0.019
1,Decision Tree,new_german_data,NA,0.709809524,0.044031374,0.709,0.043231933,0.702452381,0.037878708,0.704,0.042473521,0.689452381,0.049106997,0.703,0.056400355
2,ANN,new_german_data,NA,0.779619048,0.046612602,0.735,0.020124612,0.779714286,0.039907035,0.738,0.022715633,0.773333333,0.037209952,0.73,0.035777088
3,XGBoost,new_german_data,NA,0.765142857,0.041868382,0.749,0.027367864,0.768238095,0.043499967,0.752,0.024,0.768,0.049026255,0.747,0.03132092
4,ScopeRules,new_german_data,NA,0.67097619,0.059263474,0.686,0.034698703,0.663452381,0.054062223,0.68,0.031304952,0.680809524,0.054465783,0.653,0.041725292
5,Logistic Regression,new_heart_data,1,0.903066419,0.063203521,0.819173155,0.085047411,0.898699095,0.067137583,0.822614016,0.086117667,0.880538946,0.078636733,0.809173155,0.078464737
6,Decision Tree,new_heart_data,NA,0.794854961,0.053829529,0.76681498,0.065624521,0.810636514,0.070174014,0.75690026,0.076548264,0.773330438,0.071694221,0.735565443,0.087523068
7,ANN,new_heart_data,NA,0.903308824,0.073153109,0.822843901,0.07751467,0.905268261,0.079511284,0.823503893,0.093191413,0.88386393,0.070469615,0.815724879,0.07863566
8,XGBoost,new_heart_data,NA,0.895695297,0.054478703,0.825632184,0.058422626,0.893630818,0.051760061,0.812291435,0.048959018,0.880272301,0.073262857,0.79550241,0.059048139
9,ScopeRules,new_heart_data,NA,0.8630343,0.075103607,0.719451242,0.046476411,0.860827408,0.079357958,0.723229514,0.046255318,0.85153927,0.06574401,0.723121987,0.044629632
10,Logistic Regression,new_churn_data,1,0.842344281,0.018301036,0.800340586,0.013180767,0.842162331,0.018448811,0.799915258,0.012529877,0.838178647,0.023851964,0.799345258,0.016265441
11,Decision Tree,new_churn_data,NA,0.829776597,0.020417689,0.786972951,0.013257805,0.829452801,0.020185881,0.787115199,0.013291462,0.826191353,0.020238838,0.791668538,0.013551695
12,ANN,new_churn_data,NA,0.839957026,0.019895776,0.801478769,0.011763839,0.836476637,0.022114996,0.79451288,0.013020694,0.814768641,0.027783401,0.785551083,0.020537616
13,XGBoost,new_churn_data,NA,0.841265564,0.020259045,0.801906522,0.012782074,0.843175972,0.021785037,0.802190613,0.01304325,0.841568558,0.022243525,0.801764477,0.013043697
14,ScopeRules,new_churn_data,NA,0.726438603,0.02553306,0.75213644,0.024966763,0.726438603,0.02553306,0.75213644,0.024966763,0.726438603,0.02553306,0.75213644,0.024966763
15,Logistic Regression,new_icu_data,1,0.858467341,0.013874206,0.908264515,0.007015657,0.858397339,0.0135697,0.908943993,0.007720524,0.863528723,0.012168987,0.910387838,0.005501344
16,Decision Tree,new_icu_data,NA,0.841669583,0.016504854,0.910981849,0.005009029,0.841882978,0.015625872,0.91013252,0.005274917,0.838243266,0.017081451,0.91072783,0.004814154
17,ANN,new_icu_data,NA,0.883636343,0.013303523,0.914549162,0.006270214,0.884906938,0.011135671,0.916673134,0.00511248,0.860506403,0.01149112,0.907415258,0.004559562
18,XGBoost,new_icu_data,NA,0.887914323,0.010432342,0.915398996,0.006253608,0.887705025,0.010299398,0.915908766,0.006073705,0.886170357,0.009932241,0.915569136,0.005381286
19,ScopeRules,new_icu_data,NA,0.637931126,0.022059757,0.894418488,0.007636503,0.63897284,0.022350626,0.894333526,0.007628753,0.6421437,0.021431152,0.893908862,0.006120826
20,Logistic Regression,new_hribm_data,1,0.837420847,0.063304811,0.878917357,0.020337238,0.835739468,0.062727239,0.875520467,0.019201523,0.798045267,0.045841499,0.860609827,0.023827107
21,Decision Tree,new_hribm_data,NA,0.686175999,0.065294262,0.834675807,0.021196171,0.695751834,0.077942207,0.834629402,0.021949994,0.649454384,0.069655414,0.824475881,0.014009901
22,ANN,new_hribm_data,NA,0.832760375,0.067685537,0.870064375,0.021822657,0.832821842,0.058176692,0.872790123,0.018242351,0.803323085,0.054120394,0.857902654,0.028941241
23,XGBoost,new_hribm_data,NA,0.812469439,0.061547069,0.865320919,0.011880763,0.803975209,0.060387515,0.861243757,0.009365881,0.801314665,0.047185738,0.866709294,0.013869443
24,ScopeRules,new_hribm_data,NA,0.642807073,0.03446157,0.844176256,0.016888114,0.642942574,0.034509798,0.844176256,0.016888114,0.61676353,0.054335294,0.843514433,0.014515057
25,Logistic Regression,bank_data,1,0.785083845,0.012178202,0.899364021,0.003182351,0.789526486,0.012360164,0.899703927,0.003056161,0.791873948,0.012166743,0.899849588,0.003709599
26,Decision Tree,bank_data,NA,0.778435575,0.012106802,0.899388328,0.003644266,0.783777469,0.010095895,0.899655383,0.003703745,0.780676311,0.011602993,0.89958255,0.003713416
